"b_value","critical_slope_value"
2.83076829698452,0.35
1.35625317459049,0.74
2.02339414435138,0.49
1.73370996045139,0.58
1.4604782202903,0.68
1.29467435962527,0.77
0.498805895341589,0.9
3.1273127479984,0.32
1.36112543693591,0.73
1.01061021989661,0.9
2.30886195559267,0.43
5.33403994552669,0.19
1.4448802579879,0.69
2.65407931199647,0.38
1.8703275863127,0.53
0.63515497244308,0.9
1.6022377974197,0.62
0.488242933109502,0.9
1.17812149895147,0.85
2.25238476335136,0.44
2.43057791988238,0.41
0.722916832416262,0.9
0.662450716393432,0.9
3.91738360536255,0.26
0.868898027213876,0.9
0.685569063579993,0.9
1.74900985387523,0.57
2.95708606659105,0.34
1.4859699822143,0.67
0.488329469647878,0.9
1.72757718390288,0.58
3.22887565251485,0.31
2.36141795036906,0.42
0.34959063731158,0.9
3.70692878926388,0.27
2.65954953509979,0.38
4.31648564149806,0.23
2.37343685278104,0.42
0.506825223078747,0.9
2.50795294772598,0.4
1.95862763062031,0.51
0.637294900549169,0.9
2.70571518251549,0.37
1.04719191342825,0.9
3.45992143809818,0.29
7.71000773954359,0.13
0.503254981719531,0.9
1.84485771701522,0.54
2.32319702034534,0.43
2.62870174561326,0.38
1.77111571444032,0.56
1.65026379376705,0.61
6.2481600118009,0.16
0.505547468717522,0.9
0.746313790522406,0.9
0.917354101952929,0.9
1.31623657278055,0.76
3.37982610545123,0.3
1.67014487903932,0.6
1.19209635970131,0.84
3.44055615625964,0.29
0.721970294058477,0.9
2.13071299072129,0.47
4.13058330281412,0.24
1.75878438408937,0.57
1.34661188851524,0.74
1.4723521220037,0.68
3.32473314956947,0.3
3.8695003883451,0.26
4.28451770019634,0.23
0.742407221587692,0.9
1.79210615579712,0.56
1.9198406960566,0.52
0.390439598949898,0.9
5.93010097662294,0.17
0.95560927971818,0.9
2.68428535182408,0.37
5.83920878397478,0.17
3.22853747509204,0.31
3.33524954684176,0.3
1.1989688249662,0.83
0.635094883804136,0.9
1.61015550081629,0.62
1.13104447062003,0.88
1.90165506768958,0.53
3.1023554132166,0.32
3.16809353088462,0.32
2.46727074716516,0.41
1.42748339651266,0.7
2.42486262406616,0.41
0.179587618814979,0.9
0.860803925512107,0.9
3.33948666394178,0.3
0.218792182448345,0.9
1.72349202965437,0.58
0.887315668610805,0.9
2.7889679071035,0.36
2.59476585598596,0.39
1.02997572123837,0.9
2.40848783133469,0.42
0.897791976728087,0.9
2.98696779946958,0.33
1.41474058592465,0.71
0.877949791745865,0.9
5.16440529184661,0.19
1.80411052800415,0.55
2.83327366357037,0.35
2.66411156004148,0.38
0.826437528484831,0.9
3.04327582953063,0.33
4.77391688405955,0.21
2.58030114690208,0.39
0.494931091234872,0.9
3.32429417428521,0.3
2.87104120911002,0.35
2.76231408222746,0.36
2.82805225125905,0.35
3.22565342082214,0.31
2.92329993763229,0.34
1.95365616653699,0.51
2.5327270942437,0.39
1.68253469857652,0.59
3.29292871033742,0.3
3.15417598258604,0.32
2.8265622968018,0.35
0.794820840875611,0.9
1.65585578184798,0.6
1.77970095721133,0.56
2.27793400035189,0.44
0.887799313009918,0.9
2.18772925835791,0.46
3.21145408989581,0.31
5.04308156227376,0.2
1.04169838318609,0.9
4.64985378479875,0.22
2.51333482800333,0.4
1.42971674756559,0.7
3.23408991684358,0.31
2.64368659883987,0.38
0.398779200429833,0.9
3.2377684056774,0.31
1.22571270076748,0.82
2.63139704062655,0.38
0.911998243254335,0.9
3.42160212221721,0.29
2.83574474545755,0.35
0.610918533270681,0.9
1.73805574516938,0.58
4.52858281689424,0.22
0.488765012646923,0.9
2.8005605812407,0.36
2.18350657344322,0.46
0.725879407024796,0.9
2.12062961060927,0.47
1.52148769918198,0.66
1.24572620945013,0.8
2.61884411186677,0.38
0.45419802037474,0.9
0.920056037332793,0.9
1.21104454626421,0.83
2.18803813090295,0.46
1.69042079653873,0.59
1.6457730197939,0.61
1.11435443012836,0.9
3.76966243303856,0.27
2.90697529675477,0.34
1.61792430682878,0.62
2.69896015509199,0.37
2.77917126637253,0.36
5.12632419088969,0.2
0.737508963355066,0.9
3.13790270102991,0.32
0.849417533616029,0.9
2.19686138147892,0.46
0.978167790612026,0.9
1.89647004591325,0.53
0.52441269323384,0.9
2.17917734458682,0.46
3.29398246990323,0.3
0.655220491278291,0.9
1.43493176586348,0.7
2.14417378808713,0.47
0.167129133335207,0.9
2.82341066790202,0.35
2.14842488553561,0.47
2.22762687481707,0.45
1.71593882137408,0.58
4.37885226791166,0.23
2.92796429935568,0.34
3.81536547463856,0.26
1.36821407423971,0.73
1.23304344253294,0.81
2.61167140532545,0.38
3.3206703660743,0.3
3.40634715610243,0.29
1.54479831974738,0.65
2.25145285875896,0.44
3.74701662179341,0.27
1.59078460549396,0.63
3.11262285530908,0.32
2.30456413003858,0.43
2.16992871667517,0.46
3.06879139453509,0.33
0.858805828888143,0.9
2.46344586400988,0.41
2.21965381945865,0.45
1.41442556108081,0.71
1.13205021754774,0.88
1.49627945230325,0.67
2.02537430492816,0.49
4.05114484761003,0.25
1.99995357775375,0.5
0.722177683088027,0.9
2.50651130616012,0.4
1.20114051700188,0.83
1.11158713338552,0.9
5.29057408262102,0.19
0.246158975407023,0.9
2.54844571437518,0.39
2.44943317365461,0.41
0.951180490528473,0.9
3.2655257505414,0.31
2.01934942349125,0.5
0.743069914199667,0.9
1.63986207556006,0.61
2.59268124342753,0.39
0.212674324406348,0.9
2.75997804775175,0.36
3.97464077948788,0.25
2.00881658138237,0.5
2.22041725321193,0.45
5.73834850852316,0.17
0.667051821154548,0.9
2.76956470682056,0.36
0.748022544798038,0.9
3.61922089994616,0.28
1.26543182390264,0.79
1.29900351732917,0.77
1.303749712392,0.77
4.12528746441401,0.24
2.4295767814804,0.41
1.06990599048763,0.9
0.284745978011305,0.9
1.38498671228362,0.72
2.49402393262716,0.4
2.73902543461677,0.37
0.663520049432027,0.9
3.08334067956044,0.32
2.55516692305243,0.39
1.93676656705334,0.52
1.72032464967653,0.58
2.8011042279896,0.36
16.9321333701038,0.0599999999999999
4.29256135624215,0.23
5.86604733230307,0.17
8.37465129259741,0.12
6.76267621777605,0.15
16.1149825710531,0.0599999999999999
4.88431469087452,0.2
12.2606774396949,0.08
1.28306136082162,0.78
2.00921035582309,0.5
10.45789441551,0.1
9.26326773828089,0.11
6.94024142958445,0.14
10.1938003485692,0.1
8.83774242032219,0.11
1.74649164322635,0.57
7.19485950274705,0.14
1.41223559898122,0.71
5.07504912064535,0.2
14.5885140160027,0.07
4.87818746106458,0.21
1.34463919456059,0.74
0.508392849715111,0.9
11.9813697738008,0.08
8.62919569994261,0.12
7.98357685613053,0.13
6.62679219006675,0.15
4.66168515234374,0.21
8.67909442659104,0.12
9.79853500465387,0.1
4.98949754724382,0.2
4.43828224327722,0.23
15.3180288040737,0.07
7.38485733110633,0.14
3.33691385051839,0.3
7.91881310369812,0.13
1.42100586391132,0.7
3.21352966721025,0.31
15.6672833935838,0.0599999999999999
2.63591026977759,0.38
5.75157584593996,0.17
7.1042341237076,0.14
3.94746985790846,0.25
0.998163847717318,0.9
2.3345738526032,0.43
12.7610443844723,0.08
6.93152726376876,0.14
4.31125954517954,0.23
11.6309527477334,0.09
5.68444057429745,0.18
3.69993810500418,0.27
13.0789114551729,0.08
12.6138936345196,0.08
7.96331320778261,0.13
16.8602078881551,0.0599999999999999
6.57669566250694,0.15
1.47088585872791,0.68
2.59506321723124,0.39
18.6676207200243,0.05
8.29325853786066,0.12
10.1265274222738,0.1
4.86000675580419,0.21
17.8148473885898,0.0599999999999999
15.3373217113805,0.07
5.91106740106852,0.17
14.3894626525167,0.07
8.14845041016944,0.12
2.00034742987993,0.5
0.621154516282537,0.9
1.60202657955467,0.62
6.30986317534744,0.16
4.06655441775137,0.25
0.492422611865323,0.9
12.7464449865903,0.08
1.1748218706494,0.85
5.56563711331534,0.18
2.21414051658568,0.45
10.9699435121556,0.09
5.24879720296635,0.19
11.6494640340038,0.09
10.0925944781623,0.1
3.1441214477929,0.32
2.29252171796008,0.44
5.59651814023228,0.18
0.671765112376443,0.9
0.670904231136096,0.9
8.83027705812446,0.11
11.2464385069402,0.09
13.0873996945763,0.08
10.8531319411304,0.09
4.06183638210641,0.25
6.20997540452745,0.16
15.6644477264993,0.0599999999999999
5.02247736996095,0.2
9.27927342240235,0.11
15.3950071523254,0.07
5.12572269376346,0.2
5.05245512521497,0.2
17.8817118378425,0.0599999999999999
16.8536593065639,0.0599999999999999
7.68824190703884,0.13
6.41354018639882,0.16
0.863723570897488,0.9
6.10439667836876,0.16
5.1959621002537,0.19
10.8799061237319,0.09
16.2416590702272,0.0599999999999999
7.44267614651702,0.13
0.641356793978585,0.9
1.77898264085319,0.56
19.1746530359104,0.05
2.97548512854078,0.34
3.6234945899998,0.28
6.70524239767447,0.15
1.45414694026633,0.69
0.500155133653474,0.9
6.6104267747222,0.15
11.951975702582,0.08
1.84722096616708,0.54
8.09360531637441,0.12
11.345365339995,0.09
3.23452917754016,0.31
12.7603182208589,0.08
11.2082332458239,0.09
2.39390325926832,0.42
5.08296136311608,0.2
0.343654767845988,0.9
7.95571536731714,0.13
12.4968399202099,0.08
6.72828741649487,0.15
4.75645114839647,0.21
10.5057883880378,0.1
9.52729717999214,0.11
18.1948155481505,0.0599999999999999
3.69861901465615,0.27
4.94380890814488,0.2
2.67827888770383,0.37
12.2946173197489,0.08
8.42632750354966,0.12
10.1940080977831,0.1
4.99663806193634,0.2
14.2548695775793,0.07
10.4084675359425,0.1
5.33516755418622,0.19
11.1034557857833,0.09
4.7632730567107,0.21
4.4496339322058,0.22
18.7247175339955,0.05
2.31417913540082,0.43
8.66997695833121,0.12
10.6007686029297,0.09
0.500700771806396,0.9
9.92420412565711,0.1
17.5359034944325,0.0599999999999999
16.1228998306524,0.0599999999999999
2.44763208954848,0.41
7.79369005728851,0.13
4.22335730682889,0.24
11.4064600376846,0.09
1.97528620346303,0.51
0.637036138578879,0.9
11.7065791173894,0.09
5.92286180055388,0.17
14.0721068169116,0.07
15.9597083148117,0.0599999999999999
9.04110231474481,0.11
5.82748100834208,0.17
5.62294443606825,0.18
2.7030136010524,0.37
7.78856973863634,0.13
14.6289166203818,0.07
8.33147917436789,0.12
10.4562786792594,0.1
1.05268446763886,0.9
8.42076425183553,0.12
3.46279059632155,0.29
10.152792589357,0.1
9.01422471619224,0.11
