"road_indx","slope_value","b"
1,0.0311126552138352,1.74364028677534
1,0.00141419198318666,1.74364028677534
1,0.0240415874019697,1.74364028677534
1,0.0311127631097674,1.74364028677534
1,0.0282842712474619,1.74364028677534
1,0.0212132034355964,1.74364028677534
1,0.0480832826998717,1.74364028677534
1,0.087681197708759,1.74364028677534
1,0.0640000915527344,1.74364028677534
1,0.0739999389648437,1.74364028677534
1,0.0890954975878779,1.74364028677534
1,0.18243351717735,1.74364028677534
1,0.065053856237942,1.74364028677534
1,0.0579827344781105,1.74364028677534
1,0.0565685424949238,1.74364028677534
1,0.0664680482211287,1.74364028677534
1,0.07,1.74364028677534
1,0.0759999847412109,1.74364028677534
1,0.0479999923706055,1.74364028677534
1,0.0820000076293945,1.74364028677534
1,0.0395979689568534,1.74364028677534
1,0.01,1.74364028677534
1,0.050911693640228,1.74364028677534
1,0.0353553390593274,1.74364028677534
1,0.0381837769736668,1.74364028677534
1,0.0519999885559082,1.74364028677534
1,0.0820243893150378,1.74364028677534
1,0.0862670259560596,1.74364028677534
1,0.401636639575667,1.74364028677534
1,0.0254558603071055,1.74364028677534
1,0.222031513108186,1.74364028677534
1,0.0169705735380704,1.74364028677534
1,0,1.74364028677534
1,0,1.74364028677534
1,0.00848525979505213,1.74364028677534
1,0.0240415874019697,1.74364028677534
1,0.00707106781186548,1.74364028677534
1,0.0268700253163091,1.74364028677534
1,0.00848531374301823,1.74364028677534
1,0.0339410931281746,1.74364028677534
1,0.0466690367687189,1.74364028677534
1,0.0155563815548837,1.74364028677534
1,0.0127278896925782,1.74364028677534
1,0.0282842982214449,1.74364028677534
1,0.00707109478584852,1.74364028677534
1,0.0254558333331225,1.74364028677534
1,0.0113136977093915,1.74364028677534
1,0.0127279436405443,1.74364028677534
1,0.00848525979505213,1.74364028677534
1,0.014142135623731,1.74364028677534
1,0.00565687582867882,1.74364028677534
1,0.0379999542236328,1.74364028677534
1,0.0226274493667492,1.74364028677534
1,0.00200004577636719,1.74364028677534
1,0.04,1.74364028677534
1,0.0381837499996837,1.74364028677534
1,0.00282843791433941,1.74364028677534
1,0.0254558333331225,1.74364028677534
1,0.0254558603071055,1.74364028677534
1,0.0410121879140231,1.74364028677534
1,0.0777817459305202,1.74364028677534
1,0.0197989844784267,1.74364028677534
1,0.0212132034355964,1.74364028677534
1,0.0212132034355964,1.74364028677534
